ENSG00000290825	DDX11L2
ENSG00000272654	JTB-DT
ENSG00000143545	RAB13
ENSG00000177954	RPS27
ENSG00000143552	NUP210L
ENSG00000143549	TPM3
ENSG00000163263	CFAP141
ENSG00000143612	C1orf43
ENSG00000143569	UBAP2L
ENSG00000143575	HAX1
ENSG00000143595	AQP10
ENSG00000143515	ATP8B2
ENSG00000228013	IL6R-AS1
ENSG00000160712	IL6R
ENSG00000169291	SHE
ENSG00000273110	ENSG00000273110
ENSG00000163239	TDRD10
ENSG00000160714	UBE2Q1
ENSG00000229780	UBE2Q1-AS1
ENSG00000286391	ENSG00000286391
ENSG00000160716	CHRNB2
ENSG00000233875	ENSG00000233875
ENSG00000160710	ADAR
ENSG00000287064	ENSG00000287064
ENSG00000143603	KCNN3
ENSG00000163344	PMVK
ENSG00000270361	ENSG00000270361
ENSG00000163346	PBXIP1
ENSG00000163348	PYGO2
ENSG00000271380	ENSG00000271380
ENSG00000160691	SHC1
ENSG00000173207	CKS1B
ENSG00000160688	FLAD1
ENSG00000163352	LENEP
ENSG00000289103	ENSG00000289103
ENSG00000160685	ZBTB7B
ENSG00000163354	DCST2
ENSG00000163357	DCST1
ENSG00000232093	DCST1-AS1
ENSG00000143537	ADAM15
ENSG00000243364	EFNA4
ENSG00000143590	EFNA3
ENSG00000169242	EFNA1
ENSG00000169241	SLC50A1
ENSG00000179085	DPM3
ENSG00000163463	KRTCAP2
ENSG00000163462	TRIM46
ENSG00000185499	MUC1
ENSG00000231064	THBS3-AS1
ENSG00000169231	THBS3
ENSG00000173171	MTX1
ENSG00000236263	ENSG00000236263
ENSG00000291137	GBAP1
ENSG00000177628	GBA1
ENSG00000160767	ENTREP3
ENSG00000116521	SCAMP3
ENSG00000176444	CLK2
ENSG00000143630	HCN3
ENSG00000143627	PKLR
ENSG00000160752	FDPS
ENSG00000225855	RUSC1-AS1
ENSG00000160753	RUSC1
ENSG00000116539	ASH1L
ENSG00000227773	ASH1L-IT1
ENSG00000235919	ASH1L-AS1
ENSG00000125459	MSTO1
ENSG00000232519	ENSG00000232519
ENSG00000287839	ENSG00000287839
ENSG00000163374	YY1AP1
ENSG00000132676	DAP3
ENSG00000227673	ENSG00000227673
ENSG00000116580	GON4L
ENSG00000132718	SYT11
ENSG00000143622	RIT1
ENSG00000132680	KHDC4
ENSG00000173080	RXFP4
ENSG00000116584	ARHGEF2
ENSG00000273002	ARHGEF2-AS2
ENSG00000224276	ARHGEF2-AS1
ENSG00000285677	ENSG00000285677
ENSG00000163479	SSR2
ENSG00000160803	UBQLN4
ENSG00000116586	LAMTOR2
ENSG00000132698	RAB25
ENSG00000254726	MEX3A
ENSG00000160789	LMNA
ENSG00000196189	SEMA4A
ENSG00000160785	SLC25A44
ENSG00000160783	PMF1
ENSG00000242252	BGLAP
ENSG00000160781	PAQR6
ENSG00000198952	SMG5
ENSG00000163472	TMEM79
ENSG00000198715	GLMP
ENSG00000189030	VHLL
ENSG00000163468	CCT3
ENSG00000163467	TSACC
ENSG00000132677	RHBG
ENSG00000237390	ENSG00000237390
ENSG00000125462	MIR9-1HG
ENSG00000116604	MEF2D
ENSG00000288835	ENSG00000288835
ENSG00000289593	ENSG00000289593
ENSG00000260460	ENSG00000260460
ENSG00000183856	IQGAP3
ENSG00000187862	TTC24
ENSG00000163382	NAXE
ENSG00000160818	GPATCH4
ENSG00000272971	ENSG00000272971
ENSG00000132702	HAPLN2
ENSG00000272068	BCAN-AS1
ENSG00000132692	BCAN
ENSG00000272405	ENSG00000272405
ENSG00000229953	BCAN-AS2
ENSG00000132688	NES
ENSG00000237588	ENSG00000237588
ENSG00000285570	ENSG00000285570
ENSG00000143320	CRABP2
ENSG00000223356	ENSG00000223356
ENSG00000143319	ISG20L2
ENSG00000143303	METTL25B
ENSG00000143314	MRPL24
ENSG00000143321	HDGF
ENSG00000143294	PRCC
ENSG00000287624	ENSG00000287624
ENSG00000027869	SH2D2A
ENSG00000198400	NTRK1
ENSG00000027644	INSRR
ENSG00000187800	PEAR1
ENSG00000160838	LRRC71
ENSG00000132694	ARHGEF11
ENSG00000253831	ETV3L
ENSG00000117036	ETV3
ENSG00000290592	ENSG00000290592
ENSG00000228239	ENSG00000228239
ENSG00000271736	LINC02772
ENSG00000143297	FCRL5
ENSG00000163518	FCRL4
ENSG00000160856	FCRL3
ENSG00000227217	ENSG00000227217
ENSG00000132704	FCRL2
ENSG00000163534	FCRL1
ENSG00000073754	CD5L
ENSG00000291226	ENSG00000291226
ENSG00000183853	KIRREL1
ENSG00000226520	KIRREL1-IT1
ENSG00000288460	SMIM42
ENSG00000231666	LINC01704
ENSG00000158473	CD1D
ENSG00000176320	ENSG00000176320
ENSG00000158477	CD1A
ENSG00000158481	CD1C
ENSG00000158485	CD1B
ENSG00000158488	CD1E
ENSG00000186306	OR10T2
ENSG00000180708	OR10K2
ENSG00000173285	OR10K1
ENSG00000198965	OR10R2
ENSG00000236656	ENSG00000236656
ENSG00000197532	OR6Y1
ENSG00000186440	OR6P1
ENSG00000279111	OR10X1
ENSG00000198967	OR10Z1
ENSG00000163554	SPTA1
ENSG00000196171	OR6K2
ENSG00000203757	OR6K3
ENSG00000197403	OR6N1
ENSG00000180433	OR6K6
ENSG00000188340	OR6N2
ENSG00000163563	MNDA
ENSG00000163564	PYHIN1
ENSG00000163565	IFI16
ENSG00000289721	PYDC5
ENSG00000163568	AIM2
ENSG00000162706	CADM3
ENSG00000225670	CADM3-AS1
ENSG00000213088	ACKR1
ENSG00000179639	FCER1A
ENSG00000196266	OR10J3
ENSG00000228560	ENSG00000228560
ENSG00000249730	OR10J4
ENSG00000196184	OR10J1
ENSG00000224943	LINC02819
ENSG00000289484	ENSG00000289484
ENSG00000184155	OR10J5
ENSG00000132703	APCS
ENSG00000132693	CRP
ENSG00000288775	ENSG00000288775
ENSG00000158716	DUSP23
ENSG00000181036	FCRL6
ENSG00000158714	SLAMF8
ENSG00000188004	SNHG28
ENSG00000243284	VSIG8
ENSG00000272668	ENSG00000272668
ENSG00000213085	CFAP45
ENSG00000290105	ENSG00000290105
ENSG00000287040	ENSG00000287040
ENSG00000158710	TAGLN2
ENSG00000085552	IGSF9
ENSG00000162723	SLAMF9
ENSG00000224259	LINC01133
ENSG00000177807	KCNJ10
ENSG00000143315	PIGM
ENSG00000225279	ENSG00000225279
ENSG00000162728	KCNJ9
ENSG00000162729	IGSF8
ENSG00000018625	ATP1A2
ENSG00000132681	ATP1A4
ENSG00000143318	CASQ1
ENSG00000227741	ENSG00000227741
ENSG00000162734	PEA15
ENSG00000132716	DCAF8
ENSG00000228606	DCAF8-DT
ENSG00000162735	PEX19
ENSG00000122218	COPA
ENSG00000162736	NCSTN
ENSG00000171786	NHLH1
ENSG00000162738	VANGL2
ENSG00000162739	SLAMF6
ENSG00000234425	ENSG00000234425
ENSG00000066294	CD84
ENSG00000117090	SLAMF1
ENSG00000228863	ENSG00000228863
ENSG00000117091	CD48
ENSG00000026751	SLAMF7
ENSG00000122224	LY9
ENSG00000122223	CD244
ENSG00000179914	ITLN1
ENSG00000232188	ENSG00000232188
ENSG00000198358	ENSG00000198358
ENSG00000158764	ITLN2
ENSG00000158769	F11R
ENSG00000215845	TSTD1
ENSG00000158773	USF1
ENSG00000289121	ENSG00000289121
ENSG00000186517	ARHGAP30
ENSG00000143217	NECTIN4
ENSG00000228917	NECTIN4-AS1
ENSG00000162755	KLHDC9
ENSG00000143256	PFDN2
ENSG00000158793	NIT1
ENSG00000158796	DEDD
ENSG00000143222	UFC1
ENSG00000224985	ENSG00000224985
ENSG00000143258	USP21
ENSG00000290115	ENSG00000290115
ENSG00000143224	PPOX
ENSG00000158850	B4GALT3
ENSG00000158859	ADAMTS4
ENSG00000158864	NDUFS2
ENSG00000158869	FCER1G
ENSG00000158874	APOA2
ENSG00000158882	TOMM40L
ENSG00000143257	NR1I3
ENSG00000248485	PCP4L1
ENSG00000158887	MPZ
ENSG00000143252	SDHC
ENSG00000289106	ENSG00000289106
ENSG00000188931	CFAP126
ENSG00000288670	ENSG00000288670
ENSG00000289141	ENSG00000289141
ENSG00000283696	ENSG00000283696
ENSG00000288093	ENSG00000288093
ENSG00000283360	ENSG00000283360
ENSG00000283317	ENSG00000283317
ENSG00000143226	FCGR2A
ENSG00000289273	ENSG00000289273
ENSG00000173110	HSPA6
ENSG00000203747	FCGR3A
ENSG00000224515	ENSG00000224515
ENSG00000244682	FCGR2C
ENSG00000162747	FCGR3B
ENSG00000072694	FCGR2B
ENSG00000234211	ENSG00000234211
ENSG00000132185	FCRLA
ENSG00000162746	FCRLB
ENSG00000226889	ATF6-DT
ENSG00000081721	DUSP12
ENSG00000118217	ATF6
ENSG00000162745	OLFML2B
ENSG00000227818	ENSG00000227818
ENSG00000198929	NOS1AP
ENSG00000285636	ENSG00000285636
ENSG00000227094	ENSG00000227094
ENSG00000171722	SPATA46
ENSG00000239887	C1orf226
ENSG00000198574	SH2D1B
ENSG00000152332	UHMK1
ENSG00000259788	UAP1-DT
ENSG00000117143	UAP1
ENSG00000272574	ENSG00000272574
ENSG00000162733	DDR2
ENSG00000132196	HSD17B7
ENSG00000185860	CCDC190
ENSG00000117152	RGS4
ENSG00000143248	RGS5
ENSG00000232892	RGS5-AS1
ENSG00000232995	ENSG00000232995
ENSG00000237756	ENSG00000237756
ENSG00000143228	NUF2
ENSG00000185630	PBX1
ENSG00000269887	ENSG00000269887
ENSG00000233693	PBX1-AS1
ENSG00000271917	ENSG00000271917
ENSG00000289408	ENSG00000289408
ENSG00000162761	LMX1A
ENSG00000224702	LMX1A-AS2
ENSG00000238022	LMX1A-AS1
ENSG00000143171	RXRG
ENSG00000237463	LRRC52-AS1
ENSG00000162763	LRRC52
ENSG00000236206	ENSG00000236206
ENSG00000143198	MGST3
ENSG00000143149	ALDH9A1
ENSG00000273365	ENSG00000273365
ENSG00000143183	TMCO1
ENSG00000224358	TMCO1-AS1
ENSG00000143179	UCK2
ENSG00000236364	ENSG00000236364
ENSG00000188859	FAM78B
ENSG00000203307	FAM78B-AS1
ENSG00000230898	ENSG00000230898
ENSG00000229588	ENSG00000229588
ENSG00000225325	ENSG00000225325
ENSG00000234142	LINC01675
ENSG00000290604	FMO9P
ENSG00000143157	POGK
ENSG00000152382	TADA1
ENSG00000143195	ILDR2
ENSG00000143194	MAEL
ENSG00000227907	ENSG00000227907
ENSG00000143167	GPA33
ENSG00000198842	STYXL2
ENSG00000231605	LINC01363
ENSG00000272205	POU2F1-DT
ENSG00000143190	POU2F1
ENSG00000272033	ENSG00000272033
ENSG00000198821	CD247
ENSG00000287218	ENSG00000287218
ENSG00000233411	ENSG00000233411
ENSG00000273160	ENSG00000273160
ENSG00000143162	CREG1
ENSG00000241666	ENSG00000241666
ENSG00000198771	RCSD1
ENSG00000197965	MPZL1
ENSG00000143199	ADCY10
ENSG00000232194	ENSG00000232194
ENSG00000143158	MPC2
ENSG00000143164	DCAF6
ENSG00000143147	GPR161
ENSG00000143155	TIPRL
ENSG00000213064	SFT2D2
ENSG00000143178	TBX19
ENSG00000228697	ENSG00000228697
ENSG00000283255	ENSG00000283255
ENSG00000143185	XCL2
ENSG00000143184	XCL1
ENSG00000143196	DPT
ENSG00000285622	ENSG00000285622
ENSG00000235736	ENSG00000235736
ENSG00000225826	LINC00626
ENSG00000287831	ENSG00000287831
ENSG00000203601	LINC00970
ENSG00000287282	ENSG00000287282
ENSG00000237707	ENSG00000237707
ENSG00000143153	ATP1B1
ENSG00000143156	NME7
ENSG00000235575	ENSG00000235575
ENSG00000117475	BLZF1
ENSG00000117477	CCDC181
ENSG00000117479	SLC19A2
ENSG00000213062	ENSG00000213062
ENSG00000198734	F5
ENSG00000174175	SELP
ENSG00000000460	C1orf112
ENSG00000188404	SELL
ENSG00000007908	SELE
ENSG00000230704	ENSG00000230704
ENSG00000171806	METTL18
ENSG00000000457	SCYL3
ENSG00000075945	KIFAP3
ENSG00000232959	ENSG00000232959
ENSG00000203740	NTMT2
ENSG00000233985	LINC01681
ENSG00000224286	LINC01142
ENSG00000231407	GORAB-AS1
ENSG00000120370	GORAB
ENSG00000225545	ENSG00000225545
ENSG00000235303	ENSG00000235303
ENSG00000116132	PRRX1
ENSG00000271811	ENSG00000271811
ENSG00000231424	ENSG00000231424
ENSG00000117501	MROH9
ENSG00000007933	FMO3
ENSG00000094963	FMO2
ENSG00000225243	ENSG00000225243
ENSG00000010932	FMO1
ENSG00000076258	FMO4
ENSG00000117523	PRRC2C
ENSG00000283683	MYOCOS
ENSG00000034971	MYOC
ENSG00000117533	VAMP4
ENSG00000010165	METTL13
ENSG00000197959	DNM3
ENSG00000233540	DNM3-IT1
ENSG00000230630	DNM3OS
ENSG00000287336	ENSG00000287336
ENSG00000135845	PIGC
ENSG00000180999	C1orf105
ENSG00000094975	SUCO
ENSG00000117560	FASLG
ENSG00000224228	ENSG00000224228
ENSG00000224000	ENSG00000224000
ENSG00000120337	TNFSF18
ENSG00000226375	ENSG00000226375
ENSG00000117586	TNFSF4
ENSG00000203739	PRDX6-AS1
ENSG00000117592	PRDX6
ENSG00000162753	SLC9C2
ENSG00000238272	ENSG00000238272
ENSG00000183831	ANKRD45
ENSG00000232113	TEX50
ENSG00000289426	ENSG00000289426
ENSG00000076321	KLHL20
ENSG00000120334	CENPL
ENSG00000117593	DARS2
ENSG00000234741	GAS5
ENSG00000270084	GAS5-AS1
ENSG00000185278	ZBTB37
ENSG00000117601	SERPINC1
ENSG00000135870	RC3H1
ENSG00000236535	RC3H1-IT1
ENSG00000224977	RC3H1-DT
ENSG00000227373	RABGAP1L-DT
ENSG00000152061	RABGAP1L
ENSG00000203737	GPR52
ENSG00000223525	RABGAP1L-IT1
ENSG00000229531	RABGAP1L-AS1
ENSG00000289425	ENSG00000289425
ENSG00000287697	ENSG00000287697
ENSG00000116161	CACYBP
ENSG00000120333	MRPS14
ENSG00000120332	TNN
ENSG00000235750	KIAA0040
ENSG00000230687	ENSG00000230687
ENSG00000260990	ENSG00000260990
ENSG00000116147	TNR
ENSG00000235628	TNR-IT1
ENSG00000224718	LINC01657
ENSG00000227740	LINC02803
ENSG00000143207	COP1
ENSG00000228686	ENSG00000228686
ENSG00000236021	COP1-DT
ENSG00000116183	PAPPA2
ENSG00000286754	ENSG00000286754
ENSG00000152092	ASTN1
ENSG00000198797	BRINP2
ENSG00000224968	LINC01645
ENSG00000227579	ENSG00000227579
ENSG00000236720	LINC01741
ENSG00000120341	SEC16B
ENSG00000224687	RASAL2-AS1
ENSG00000075391	RASAL2
ENSG00000188585	CLEC20A
ENSG00000285910	ENSG00000285910
ENSG00000240021	TEX35
ENSG00000213057	C1orf220
ENSG00000273384	ENSG00000273384
ENSG00000273062	RALGPS2-AS1
ENSG00000116191	RALGPS2
ENSG00000116194	ANGPTL1
ENSG00000289432	ENSG00000289432
ENSG00000116199	FAM20B
ENSG00000186283	TOR3A
ENSG00000143322	ABL2
ENSG00000057252	SOAT1
ENSG00000162779	AXDND1
ENSG00000261250	ENSG00000261250
ENSG00000116218	NPHS2
ENSG00000261060	ENSG00000261060
ENSG00000162782	TDRD5
ENSG00000243062	ENSG00000243062
ENSG00000143340	FAM163A
ENSG00000229407	ENSG00000229407
ENSG00000231966	LINC02818
ENSG00000169905	TOR1AIP2
ENSG00000272906	ENSG00000272906
ENSG00000143337	TOR1AIP1
ENSG00000261831	ENSG00000261831
ENSG00000260360	ENSG00000260360
ENSG00000135837	CEP350
ENSG00000261817	ENSG00000261817
ENSG00000116260	QSOX1
ENSG00000121454	LHX4
ENSG00000230124	ACBD6
ENSG00000236719	OVAAL
ENSG00000143324	XPR1
ENSG00000225857	LINC02816
ENSG00000135835	KIAA1614
ENSG00000243155	ENSG00000243155
ENSG00000232586	KIAA1614-AS1
ENSG00000135823	STX6
ENSG00000153029	MR1
ENSG00000289589	ENSG00000289589
ENSG00000162783	IER5
ENSG00000237292	LINC01732
ENSG00000225359	ENSG00000225359
ENSG00000179452	LINC01699
ENSG00000198216	CACNA1E
ENSG00000288574	ENSG00000288574
ENSG00000287452	ENSG00000287452
ENSG00000179930	ZNF648
ENSG00000224810	ENSG00000224810
ENSG00000225982	ENSG00000225982
ENSG00000228918	LINC01344
ENSG00000232309	ENSG00000232309
ENSG00000289573	ENSG00000289573
ENSG00000135821	GLUL
ENSG00000203730	TEDDM1
ENSG00000203729	LINC00272
ENSG00000121446	RGSL1
ENSG00000135828	RNASEL
ENSG00000143333	RGS16
ENSG00000261504	LINC01686
ENSG00000135824	RGS8
ENSG00000227181	LINC01688
ENSG00000135838	NPL
ENSG00000287808	DHX9-AS1
ENSG00000135829	DHX9
ENSG00000157060	SHCBP1L
ENSG00000135862	LAMC1
ENSG00000224468	LAMC1-AS1
ENSG00000058085	LAMC2
ENSG00000157064	NMNAT2
ENSG00000287929	ENSG00000287929
ENSG00000286372	ENSG00000286372
ENSG00000232860	SMG7-AS1
ENSG00000116698	SMG7
ENSG00000116701	NCF2
ENSG00000289099	ENSG00000289099
ENSG00000286966	ENSG00000286966
ENSG00000162704	ARPC5
ENSG00000143344	RGL1
ENSG00000173627	APOBEC4
ENSG00000227554	ENSG00000227554
ENSG00000289581	ENSG00000289581
ENSG00000198756	COLGALT2
ENSG00000198860	TSEN15
ENSG00000286655	ENSG00000286655
ENSG00000231791	ENSG00000231791
ENSG00000271387	C1orf21-DT
ENSG00000116667	C1orf21
ENSG00000230470	ENSG00000230470
ENSG00000285847	ENSG00000285847
ENSG00000290066	ENSG00000290066
ENSG00000286378	ENSG00000286378
ENSG00000116406	EDEM3
ENSG00000135842	NIBAN1
ENSG00000260976	LINC01633
ENSG00000121481	RNF2
ENSG00000121486	TRMT1L
ENSG00000116668	SWT1
ENSG00000116679	IVNS1ABP
ENSG00000273004	ENSG00000273004
ENSG00000228309	LINC01350
ENSG00000261729	ENSG00000261729
ENSG00000143341	HMCN1
ENSG00000224691	ENSG00000224691
ENSG00000288078	ENSG00000288078
ENSG00000116690	PRG4
ENSG00000047410	TPR
ENSG00000157181	ODR4
ENSG00000229739	PDC-AS1
ENSG00000116703	PDC
ENSG00000273198	ENSG00000273198
ENSG00000288562	ENSG00000288562
ENSG00000073756	PTGS2
ENSG00000273129	PACERR
ENSG00000116711	PLA2G4A
ENSG00000230426	LINC01036
ENSG00000285894	ENSG00000285894
ENSG00000261182	ENSG00000261182
ENSG00000225006	ENSG00000225006
ENSG00000237283	ENSG00000237283
ENSG00000238054	ENSG00000238054
ENSG00000226486	LINC01035
ENSG00000232212	LINC01701
ENSG00000238270	ENSG00000238270
ENSG00000287472	ENSG00000287472
ENSG00000162670	BRINP3
ENSG00000225811	ENSG00000225811
ENSG00000237457	BRINP3-DT
ENSG00000241505	ENSG00000241505
ENSG00000231175	LINC01720
ENSG00000285638	ENSG00000285638
ENSG00000261642	ENSG00000261642
ENSG00000233882	LINC01680
ENSG00000228215	LINC02770
ENSG00000223344	ENSG00000223344
ENSG00000150681	RGS18
ENSG00000285280	ENSG00000285280
ENSG00000253148	RGS21
ENSG00000236069	ENSG00000236069
ENSG00000090104	RGS1
ENSG00000289995	ENSG00000289995
ENSG00000127074	RGS13
ENSG00000116741	RGS2
ENSG00000116750	UCHL5
ENSG00000116747	RO60
ENSG00000023572	GLRX2
ENSG00000134371	CDC73
ENSG00000162630	B3GALT2
ENSG00000232077	LINC01031
ENSG00000286285	ENSG00000286285
ENSG00000227240	ENSG00000227240
ENSG00000288950	ENSG00000288950
ENSG00000226640	ENSG00000226640
ENSG00000237011	ENSG00000237011
ENSG00000231714	ENSG00000231714
ENSG00000285718	ENSG00000285718
ENSG00000287364	ENSG00000287364
ENSG00000227421	LINC01724
ENSG00000162687	KCNT2
ENSG00000000971	CFH
ENSG00000116785	CFHR3
ENSG00000244414	CFHR1
ENSG00000134365	CFHR4
ENSG00000080910	CFHR2
ENSG00000134389	CFHR5
ENSG00000143278	F13B
ENSG00000066279	ASPM
ENSG00000177888	ZBTB41
ENSG00000290127	ENSG00000290127
ENSG00000134376	CRB1
ENSG00000230260	ENSG00000230260
ENSG00000213047	DENND1B
ENSG00000224901	ENSG00000224901
ENSG00000203724	C1orf53
ENSG00000143355	LHX9
ENSG00000151414	NEK7
ENSG00000287989	ENSG00000287989
ENSG00000151418	ATP6V1G3
ENSG00000223881	ENSG00000223881
ENSG00000081237	PTPRC
ENSG00000261573	ENSG00000261573
ENSG00000229989	MIR181A1HG
ENSG00000225172	ENSG00000225172
ENSG00000233410	LINC01222
ENSG00000235492	LINC01221
ENSG00000286541	ENSG00000286541
ENSG00000231718	LINC02789
ENSG00000290125	ENSG00000290125
ENSG00000116833	NR5A2
ENSG00000203721	LINC00862
ENSG00000273093	ENSG00000273093
ENSG00000230623	ENSG00000230623
ENSG00000162702	ZNF281
ENSG00000282849	ENSG00000282849
ENSG00000118193	KIF14
ENSG00000118197	DDX59
ENSG00000260088	DDX59-AS1
ENSG00000118200	CAMSAP2
ENSG00000170128	GPR25
ENSG00000163362	INAVA
ENSG00000116852	KIF21B
ENSG00000229191	ENSG00000229191
ENSG00000234132	ENSG00000234132
ENSG00000081248	CACNA1S
ENSG00000232237	ASCL5
ENSG00000116857	TMEM9
ENSG00000163395	IGFN1
ENSG00000229821	ENSG00000229821
ENSG00000081277	PKP1
ENSG00000118194	TNNT2
ENSG00000159166	LAD1
ENSG00000282221	ENSG00000282221
ENSG00000159173	TNNI1
ENSG00000174307	PHLDA3
ENSG00000224818	ENSG00000224818
ENSG00000159176	CSRP1
ENSG00000224536	CSRP1-AS1
ENSG00000134369	NAV1
ENSG00000236390	ENSG00000236390
ENSG00000231871	IPO9-AS1
ENSG00000235121	ENSG00000235121
ENSG00000198700	IPO9
ENSG00000198892	SHISA4
ENSG00000223774	ENSG00000223774
ENSG00000163431	LMOD1
ENSG00000134375	TIMM17A
ENSG00000176393	RNPEP
ENSG00000234678	ELF3-AS1
ENSG00000163435	ELF3
ENSG00000249007	ENSG00000249007
ENSG00000170075	GPR37L1
ENSG00000143862	ARL8A
ENSG00000143851	PTPN7
ENSG00000133067	LGR6
ENSG00000077152	UBE2T
ENSG00000077157	PPP1R12B
ENSG00000143858	SYT2
ENSG00000226862	ENSG00000226862
ENSG00000225620	ENSG00000225620
ENSG00000117139	KDM5B
ENSG00000260021	ENSG00000260021
ENSG00000228288	PCAT6
ENSG00000291234	ENSG00000291234
ENSG00000183155	RABIF
ENSG00000117153	KLHL12
ENSG00000159346	ADIPOR1
ENSG00000159348	CYB5R1
ENSG00000290909	ENSG00000290909
ENSG00000163444	TMEM183A
ENSG00000143847	PPFIA4
ENSG00000122180	MYOG
ENSG00000163485	ADORA1
ENSG00000234775	ENSG00000234775
ENSG00000224671	ENSG00000224671
ENSG00000133055	MYBPH
ENSG00000133048	CHI3L1
ENSG00000133063	CHIT1
ENSG00000231507	LINC01353
ENSG00000288925	ENSG00000288925
ENSG00000233791	BTG2-DT
ENSG00000159388	BTG2
ENSG00000122176	FMOD
ENSG00000188783	PRELP
ENSG00000188770	OPTC
ENSG00000058668	ATP2B4
ENSG00000122188	LAX1
ENSG00000257315	ZBED6
ENSG00000058673	ZC3H11A
ENSG00000288644	ENSG00000288644
ENSG00000182004	SNRPE
ENSG00000286383	ENSG00000286383
ENSG00000176754	LINC00303
ENSG00000286572	ENSG00000286572
ENSG00000143842	SOX13
ENSG00000261065	ENSG00000261065
ENSG00000143845	ETNK2
ENSG00000230550	ERLNC1
ENSG00000143839	REN
ENSG00000170498	KISS1
ENSG00000174567	GOLT1A
ENSG00000143850	PLEKHA6
ENSG00000231691	ENSG00000231691
ENSG00000280924	LINC00628
ENSG00000226330	PPP1R15B-AS1
ENSG00000158615	PPP1R15B
ENSG00000288934	ENSG00000288934
ENSG00000133056	PIK3C2B
ENSG00000198625	MDM4
ENSG00000240710	ENSG00000240710
ENSG00000170382	LRRN2
ENSG00000240219	ENSG00000240219
ENSG00000228153	ENSG00000228153
ENSG00000287197	ENSG00000287197
ENSG00000163531	NFASC
ENSG00000184144	CNTN2
ENSG00000174529	TMEM81
ENSG00000117222	RBBP5
ENSG00000133059	DSTYK
ENSG00000133069	TMCC2
ENSG00000225063	TMCC2-AS1
ENSG00000163545	NUAK2
ENSG00000162873	KLHDC8A
ENSG00000226235	LEMD1-AS1
ENSG00000186007	LEMD1
ENSG00000281406	BLACAT1
ENSG00000224717	LEMD1-DT
ENSG00000117266	CDK18
ENSG00000174514	MFSD4A
ENSG00000158711	ELK4
ENSG00000158715	SLC45A3
ENSG00000069275	NUCKS1
ENSG00000117280	RAB29
ENSG00000285521	ENSG00000285521
ENSG00000133065	SLC41A1
ENSG00000286619	ENSG00000286619
ENSG00000162877	PM20D1
ENSG00000174502	SLC26A9
ENSG00000227687	ENSG00000227687
ENSG00000276600	RAB7B
ENSG00000196188	CTSE
ENSG00000263961	RHEX
ENSG00000198049	AVPR1B
ENSG00000226780	AVPR1B-DT
ENSG00000287432	ENSG00000287432
ENSG00000236889	ENSG00000236889
ENSG00000196550	FAM72A
ENSG00000266028	SRGAP2
ENSG00000263528	IKBKE
ENSG00000162888	IKBKE-AS1
ENSG00000261000	ENSG00000261000
ENSG00000266094	RASSF5
ENSG00000143486	EIF2D
ENSG00000237605	DYRK3-AS1
ENSG00000143479	DYRK3
ENSG00000162889	MAPKAPK2
ENSG00000136634	IL10
ENSG00000142224	IL19
ENSG00000162891	IL20
ENSG00000162892	IL24
ENSG00000162894	FCMR
ENSG00000162896	PIGR
ENSG00000162897	FCAMR
ENSG00000182795	C1orf116
ENSG00000123836	PFKFB2
ENSG00000180667	YOD1
ENSG00000123843	C4BPB
ENSG00000123838	C4BPA
ENSG00000275392	ENSG00000275392
ENSG00000243636	ENSG00000243636
ENSG00000237074	LINC02942
ENSG00000196352	CD55
ENSG00000283044	ENSG00000283044
ENSG00000117322	CR2
ENSG00000203710	CR1
ENSG00000236911	ENSG00000236911
ENSG00000197721	CR1L
ENSG00000285239	ENSG00000285239
ENSG00000117335	CD46
ENSG00000203709	MIR29B2CHG
ENSG00000289071	ENSG00000289071
ENSG00000174059	CD34
ENSG00000285719	ENSG00000285719
ENSG00000284237	LINC02767
ENSG00000076356	PLXNA2
ENSG00000287220	ENSG00000287220
ENSG00000286198	ENSG00000286198
ENSG00000261453	LINC01735
ENSG00000259815	LINC02769
ENSG00000232812	LINC01717
ENSG00000236950	LINC01774
ENSG00000287046	ENSG00000287046
ENSG00000232537	ENSG00000232537
ENSG00000227940	LINC01696
ENSG00000231648	LINC01698
ENSG00000230937	MIR205HG
ENSG00000224260	ENSG00000224260
ENSG00000287902	ENSG00000287902
ENSG00000008118	CAMK1G
ENSG00000196878	LAMB3
ENSG00000227591	HSD11B1-AS1
ENSG00000123689	G0S2
ENSG00000117594	HSD11B1
ENSG00000009790	TRAF3IP3
ENSG00000162757	C1orf74
ENSG00000117595	IRF6
ENSG00000117597	UTP25
ENSG00000143469	SYT14
ENSG00000287343	ENSG00000287343
ENSG00000203706	SERTAD4-AS1
ENSG00000082497	SERTAD4
ENSG00000054392	HHAT
ENSG00000287354	ENSG00000287354
ENSG00000287157	ENSG00000287157
ENSG00000143473	KCNH1
ENSG00000284376	ENSG00000284376
ENSG00000234233	KCNH1-IT1
ENSG00000117625	RCOR3
ENSG00000082512	TRAF5
ENSG00000287033	ENSG00000287033
ENSG00000153363	LINC00467
ENSG00000198570	RD3
ENSG00000223649	ENSG00000223649
ENSG00000170385	SLC30A1
ENSG00000261314	ENSG00000261314
ENSG00000288738	ENSG00000288738
ENSG00000228792	ENSG00000228792
ENSG00000227764	NTRAS
ENSG00000117650	NEK2
ENSG00000231057	NEK2-DT
ENSG00000226868	ENSG00000226868
ENSG00000123684	LPGAT1
ENSG00000229258	LPGAT1-AS1
